document_char_count,document_sentence_count,document_sentence_density,document_stopword_count,document_word_count,summary_char_count,summary_sentence_count,summary_sentence_density,summary_stopword_count,summary_word_count
4962,57,0.05287569573283859,542,1078,422,4,0.04938271604938271,33,81
7563,150,0.08561643835616438,897,1752,133,3,0.0967741935483871,12,31
8712,83,0.0453056768558952,915,1832,470,4,0.039603960396039604,50,101
9557,83,0.04011599806669889,1158,2069,323,3,0.046153846153846156,29,65
10306,115,0.050997782705099776,1198,2255,195,3,0.07317073170731707,17,41
13820,154,0.05124792013311148,1664,3005,257,3,0.061224489795918366,21,49
17191,242,0.06524669722297115,1903,3709,255,4,0.08163265306122448,19,49
11703,108,0.04363636363636364,1323,2475,286,4,0.0784313725490196,20,51
3124,34,0.047752808988764044,364,712,241,3,0.06,17,50
6505,79,0.056630824372759854,752,1395,397,3,0.03896103896103896,29,77
9964,93,0.04399243140964995,1122,2114,308,4,0.06896551724137931,25,58
12874,169,0.06143220647037441,1410,2751,500,4,0.043478260869565216,32,92
4209,47,0.05608591885441527,400,838,283,3,0.047619047619047616,27,63
3338,40,0.05578800557880056,374,717,363,6,0.08,33,75
7923,109,0.06225014277555682,923,1751,383,3,0.039473684210526314,35,76
3275,50,0.0755287009063444,312,662,300,3,0.05555555555555555,21,54
3456,28,0.043209876543209874,290,648,442,6,0.07058823529411765,36,85
2484,8,0.014336917562724014,291,558,274,4,0.06557377049180328,30,61
4645,45,0.04756871035940803,469,946,361,3,0.04477611940298507,24,67
14560,190,0.05911636589919104,1769,3214,194,3,0.08333333333333333,16,36
7447,82,0.0514752040175769,859,1593,438,4,0.043010752688172046,49,93
24218,347,0.060305874174487316,3261,5754,189,2,0.046511627906976744,22,43
7725,107,0.058533916849015315,1012,1828,407,4,0.05063291139240506,40,79
7624,86,0.05140466228332337,899,1673,199,3,0.07894736842105263,15,38
12215,129,0.04626972740315639,1603,2788,325,3,0.043478260869565216,34,69
14346,198,0.05686387133831131,1827,3482,206,2,0.05,16,40
3256,43,0.06814580031695722,304,631,407,9,0.11688311688311688,32,77
8785,136,0.07307898979043526,978,1861,220,2,0.045454545454545456,22,44
9668,109,0.052378664103796255,1180,2081,400,4,0.05,41,80
6398,73,0.05476369092273068,745,1333,256,5,0.09433962264150944,27,53
11774,122,0.04963384865744508,1295,2458,369,3,0.04225352112676056,29,71
7018,78,0.05313351498637602,789,1468,396,5,0.05813953488372093,44,86
10796,121,0.05238095238095238,1234,2310,373,4,0.05063291139240506,41,79
11970,110,0.0443190975020145,1254,2482,221,3,0.06521739130434782,21,46
6769,97,0.0671280276816609,649,1445,159,3,0.0967741935483871,13,31
3655,39,0.040625,458,960,231,3,0.07894736842105263,14,38
7559,99,0.060365853658536583,809,1640,265,3,0.0625,21,48
4582,65,0.06007393715341959,633,1082,305,3,0.05454545454545454,22,55
3524,57,0.07270408163265306,413,784,215,4,0.1,15,40
12944,114,0.04303510758776897,1339,2649,662,8,0.057971014492753624,67,138
12303,149,0.05375180375180375,1585,2772,357,3,0.05,27,60
26695,246,0.04064771976206213,3413,6052,305,5,0.08620689655172414,24,58
16192,157,0.04554685233536408,1883,3447,220,5,0.12195121951219512,19,41
14801,160,0.046606466647247304,1977,3433,344,4,0.057971014492753624,31,69
9398,164,0.07407407407407407,1230,2214,170,2,0.058823529411764705,13,34
9009,88,0.044966785896780784,1082,1957,304,4,0.07017543859649122,23,57
6458,99,0.07061340941512126,694,1402,360,5,0.07462686567164178,28,67
6444,81,0.058315334773218146,708,1389,512,5,0.049019607843137254,48,102
7942,108,0.061468412066021626,920,1757,256,3,0.06,20,50
5074,38,0.036608863198458574,522,1038,441,4,0.04819277108433735,32,83
2314,25,0.05030181086519115,239,497,231,2,0.045454545454545456,16,44
16628,184,0.05021834061135371,1897,3664,216,4,0.08695652173913043,19,46
6051,86,0.06500377928949358,691,1323,396,4,0.05063291139240506,32,79
6252,48,0.036036036036036036,712,1332,336,3,0.043478260869565216,32,69
2434,31,0.05794392523364486,298,535,175,3,0.08108108108108109,15,37
5589,44,0.03618421052631579,640,1216,281,4,0.06896551724137931,28,58
4961,59,0.054078826764436295,565,1091,458,5,0.04950495049504951,47,101
9789,89,0.04337231968810916,1075,2052,402,6,0.07692307692307693,39,78
10407,57,0.027602905569007265,1070,2065,545,6,0.061855670103092786,35,97
6593,102,0.07348703170028818,736,1388,535,6,0.05405405405405406,53,111
9931,161,0.07619498343587316,1041,2113,384,4,0.05263157894736842,34,76
5970,99,0.07295504789977893,757,1357,346,3,0.041666666666666664,33,72
8657,67,0.03584804708400214,1003,1869,559,5,0.043478260869565216,46,115
7903,98,0.05910735826296743,838,1658,407,5,0.0625,34,80
7859,80,0.0508582326764145,756,1573,275,3,0.05263157894736842,27,57
3011,41,0.06497622820919176,333,631,242,3,0.07142857142857142,11,42
5090,57,0.050397877984084884,628,1131,275,4,0.06896551724137931,27,58
10222,107,0.04759786476868327,1192,2248,307,4,0.05714285714285714,32,70
9993,109,0.050580046403712296,1149,2155,564,6,0.05084745762711865,54,118
3015,22,0.03503184713375796,313,628,396,5,0.06172839506172839,34,81
7651,81,0.05149396058486968,850,1573,577,5,0.043478260869565216,55,115
8338,111,0.06506447831184056,899,1706,410,6,0.07894736842105263,30,76
6324,52,0.03719599427753934,752,1398,413,5,0.053763440860215055,43,93
19505,202,0.04619254516350332,2387,4373,238,4,0.08695652173913043,22,46
5506,77,0.060109289617486336,736,1281,428,5,0.05952380952380952,40,84
4588,47,0.04855371900826446,541,968,290,3,0.05660377358490566,16,53
